"Run","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","AssemblyName","download_path","Experiment","LibraryName","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","Sample","BioSample","SampleType","TaxID","ScientificName","SampleName","g1k_pop_code","source","g1k_analysis_group","Subject_ID","Sex","Disease","Tumor","Affection_Status","Analyte_Type","Histological_Type","Body_Site","CenterName","Submission","dbgap_study_accession","Consent","RunHash","ReadHash","treatment","disease"
"SRR1105568","2015-07-22 17:04:31","2015-12-09 08:39:56",29665483,3025879266,29665483,102,1178,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/105/SRR1105568/SRR1105568.sralite.1","SRX424354",NA,"RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP035268","PRJNA234026",2,234026,"SRS528031","SAMN02580438","simple",9606,"Homo sapiens","GSM1303928",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"GEO","SRA123968",NA,"public","46642BB150F3C0FA83DD65BF91092EA3","A1D6525B7420E5DBCA84A3D5DDA5FC69","control","0"
"SRR1105569","2015-07-22 17:04:31","2015-12-11 14:07:19",29556299,3014742498,29556299,102,1186,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/105/SRR1105569/SRR1105569.sralite.1","SRX424355",NA,"RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP035268","PRJNA234026",2,234026,"SRS528030","SAMN02580434","simple",9606,"Homo sapiens","GSM1303929",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"GEO","SRA123968",NA,"public","A0FDEF054EAB491726B31131450E2834","6350D900EC37523CFC438A4300CE6F80","palmitate","1"
"SRR1105570","2015-07-22 17:04:31","2015-12-09 08:38:42",28702757,2927681214,28702757,102,1117,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/105/SRR1105570/SRR1105570.sralite.1","SRX424356",NA,"RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP035268","PRJNA234026",2,234026,"SRS528033","SAMN02580443","simple",9606,"Homo sapiens","GSM1303930",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"GEO","SRA123968",NA,"public","8B33E74C6302FED9DD69768DAC21D2DB","97D70BC01D53F66D8761CF94E1E3A521","control","0"
"SRR1105571","2015-07-22 17:04:31","2015-12-11 14:09:06",33066401,3372772902,33066401,102,1280,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/105/SRR1105571/SRR1105571.sralite.1","SRX424357",NA,"RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP035268","PRJNA234026",2,234026,"SRS528032","SAMN02580439","simple",9606,"Homo sapiens","GSM1303931",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"GEO","SRA123968",NA,"public","0485668F9FD973DFBD93E825FD68CC26","E31374DCE1001004C82000CE044375A6","palmitate","1"
"SRR1105573","2015-07-22 17:04:31","2015-12-11 14:04:36",18603348,1897541496,18603348,102,1259,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/105/SRR1105573/SRR1105573.sralite.1","SRX424359",NA,"RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP035268","PRJNA234026",2,234026,"SRS528034","SAMN02580445","simple",9606,"Homo sapiens","GSM1303933",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"GEO","SRA123968",NA,"public","4C4A705EA5A9CEDCDD4670BF4D5D0C48","2EAD182133D7BF6D222761C3D2D7FE4B","palmitate","1"
"SRR1105574","2015-07-22 17:04:31","2015-12-09 08:34:49",25717722,2623207644,25717722,102,1151,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/105/SRR1105574/SRR1105574.sralite.1","SRX424360",NA,"RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP035268","PRJNA234026",2,234026,"SRS528036","SAMN02580437","simple",9606,"Homo sapiens","GSM1303934",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"GEO","SRA123968",NA,"public","6CD20F12D182469E22065628A0C7D1EA","1421C97458383C64F5A116156F61561C","control","0"
"SRR12438071","2020-08-13 16:27:09","2020-08-12 18:16:02",29665483,3025879266,29665483,102,1228,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12438/SRR12438071/SRR12438071.lite.1","SRX8933743",NA,"RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP277202","PRJNA656788",3,656788,"SRS7190063","SAMN15803202","simple",9606,"Homo sapiens","GSM4724851",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"GEO","SRA1112220",NA,"public","8E2C1551BB20758B3A27843505402E14","A1D6525B7420E5DBCA84A3D5DDA5FC69","control","0"
"SRR12438072","2020-08-13 16:27:09","2020-08-12 18:37:44",29556299,3014742498,29556299,102,1236,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12438/SRR12438072/SRR12438072.lite.1","SRX8933744",NA,"RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP277202","PRJNA656788",3,656788,"SRS7190061","SAMN15803201","simple",9606,"Homo sapiens","GSM4724852",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"GEO","SRA1112220",NA,"public","107836D095F6417BA2D48C0BA3712A03","6350D900EC37523CFC438A4300CE6F80","palmitate exposure","1"
"SRR12438073","2020-08-13 16:27:09","2020-08-12 18:40:05",28702757,2927681214,28702757,102,1165,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR012/12438/SRR12438073/SRR12438073.lite.1","SRX8933745",NA,"RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP277202","PRJNA656788",3,656788,"SRS7190062","SAMN15803200","simple",9606,"Homo sapiens","GSM4724853",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"GEO","SRA1112220",NA,"public","418752816D69DD04DFB3905D566EEB92","97D70BC01D53F66D8761CF94E1E3A521","control","0"
"SRR12438074","2020-08-13 16:27:09","2020-08-12 18:37:56",33066401,3372772902,33066401,102,1335,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12438/SRR12438074/SRR12438074.lite.1","SRX8933746",NA,"RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP277202","PRJNA656788",3,656788,"SRS7190064","SAMN15803199","simple",9606,"Homo sapiens","GSM4724854",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"GEO","SRA1112220",NA,"public","51AEC015DE3239925D1ECE4ABFF61F32","E31374DCE1001004C82000CE044375A6","palmitate exposure","1"
"SRR12438076","2020-08-13 16:27:10","2020-08-12 18:40:33",18603348,1897541496,18603348,102,1289,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12438/SRR12438076/SRR12438076.lite.1","SRX8933748",NA,"RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP277202","PRJNA656788",3,656788,"SRS7190066","SAMN15803197","simple",9606,"Homo sapiens","GSM4724856",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"GEO","SRA1112220",NA,"public","7A3A1F5DA8E404B3B79D603CFCB73FBA","2EAD182133D7BF6D222761C3D2D7FE4B","palmitate exposure","1"
"SRR12438077","2020-08-13 16:27:10","2020-08-12 18:30:36",25717722,2623207644,25717722,102,1194,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12438/SRR12438077/SRR12438077.lite.1","SRX8933749",NA,"RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP277202","PRJNA656788",3,656788,"SRS7190067","SAMN15803196","simple",9606,"Homo sapiens","GSM4724857",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"GEO","SRA1112220",NA,"public","0DFF01BCF2F512729D1E171ED73E8A5B","1421C97458383C64F5A116156F61561C","control","0"
"SRR12438079","2020-08-13 16:27:10","2020-08-12 20:26:45",85796850,17330963700,85796850,202,11912,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12438/SRR12438079/SRR12438079.lite.1","SRX8933751",NA,"RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP277202","PRJNA656788",3,656788,"SRS7190069","SAMN15803194","simple",9606,"Homo sapiens","GSM4724859",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"GEO","SRA1112220",NA,"public","2305E6A8AF47BCE8A009C236D0F4CFFC","30EB9D96973140E75260A1BBE33B0DF8","control","0"
"SRR12438080","2020-08-19 09:11:42","2020-08-19 09:01:18",62463666,11509769394,62463666,184,7838,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR012/12438/SRR12438080/SRR12438080.lite.1","SRX8933752",NA,"RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP277202","PRJNA656788",3,656788,"SRS7190070","SAMN15803193","simple",9606,"Homo sapiens","GSM4724860",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"GEO","SRA1112220",NA,"public","225DBC085199AB96B8E231C9263A1813","F2969035A3EB730EEF8250D26BE516C3","palmitate exposure","1"
